Nombre,Tipo,Estado,Departamento - Ciudad,Información Adicional,Contratista,Extension de la Obra,Localidades Beneficiadas,Fecha de Inicio,Fecha de Finalización,Plazo de Ejecución (en meses),Avance,Fuente de Financiación
Superviaducto de Aviadores y Madame Lynch,Paso a Desnivel,FINALIZADA,Central - Asunción,"CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
ID de Licitación: 295522
Nombre de la Licitación: LPI PARA LA CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
Proveedor: CORSAN CORVIAM CONSTRUCCION S.A.
RUC: 80091326-4
Código de Contratación (CC): LI-12013-15-112026
Emisión del CC: 14-09-2015 - 17:05:48
Monto Adjudicado₲ Número de Contrato226
Fecha de Firma del Contrato09-09-2015",CORSAN CORVIAM CONSTRUCCION S.A.,,"Asunción, Mariano Roque Alonso, Limpio, Luque, Fernando de la Mora","Vie, 18 Marzo 2016","Vie, 31 Marzo 2017",12,100%,Fondo Local
Superviaducto de Aviadores y Madame Lynch,Paso a Desnivel,FINALIZADA,Central - Asunción,"CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
ID de Licitación: 295522
Nombre de la Licitación: LPI PARA LA CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
Proveedor: CORSAN CORVIAM CONSTRUCCION S.A.
RUC: 80091326-4
Código de Contratación (CC): LI-12013-15-112026
Emisión del CC: 14-09-2015 - 17:05:48
Monto Adjudicado₲ Número de Contrato226
Fecha de Firma del Contrato09-09-2015",CORSAN CORVIAM CONSTRUCCION S.A.,,"Asunción, Mariano Roque Alonso, Limpio, Luque, Fernando de la Mora","Vie, 18 Marzo 2016","Vie, 31 Marzo 2017",12,100%,Fondo Local
Superviaducto de Aviadores y Madame Lynch,Paso a Desnivel,FINALIZADA,Central - Asunción,"CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
ID de Licitación: 295522
Nombre de la Licitación: LPI PARA LA CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
Proveedor: CORSAN CORVIAM CONSTRUCCION S.A.
RUC: 80091326-4
Código de Contratación (CC): LI-12013-15-112026
Emisión del CC: 14-09-2015 - 17:05:48
Monto Adjudicado₲ Número de Contrato226
Fecha de Firma del Contrato09-09-2015",CORSAN CORVIAM CONSTRUCCION S.A.,,"Asunción, Mariano Roque Alonso, Limpio, Luque, Fernando de la Mora","Vie, 18 Marzo 2016","Vie, 31 Marzo 2017",12,100%,Fondo Local
Superviaducto de Aviadores y Madame Lynch,Paso a Desnivel,FINALIZADA,Central - Asunción,"CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
ID de Licitación: 295522
Nombre de la Licitación: LPI PARA LA CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
Proveedor: CORSAN CORVIAM CONSTRUCCION S.A.
RUC: 80091326-4
Código de Contratación (CC): LI-12013-15-112026
Emisión del CC: 14-09-2015 - 17:05:48
Monto Adjudicado₲ Número de Contrato226
Fecha de Firma del Contrato09-09-2015",CORSAN CORVIAM CONSTRUCCION S.A.,,"Asunción, Mariano Roque Alonso, Limpio, Luque, Fernando de la Mora","Vie, 18 Marzo 2016","Vie, 31 Marzo 2017",12,100%,Fondo Local
Superviaducto de Aviadores y Madame Lynch,Paso a Desnivel,FINALIZADA,Central - Asunción,"CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
ID de Licitación: 295522
Nombre de la Licitación: LPI PARA LA CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
Proveedor: CORSAN CORVIAM CONSTRUCCION S.A.
RUC: 80091326-4
Código de Contratación (CC): LI-12013-15-112026
Emisión del CC: 14-09-2015 - 17:05:48
Monto Adjudicado₲ Número de Contrato226
Fecha de Firma del Contrato09-09-2015",CORSAN CORVIAM CONSTRUCCION S.A.,,"Asunción, Mariano Roque Alonso, Limpio, Luque, Fernando de la Mora","Vie, 18 Marzo 2016","Vie, 31 Marzo 2017",12,100%,Fondo Local
Superviaducto de Aviadores y Madame Lynch,Paso a Desnivel,FINALIZADA,Central - Asunción,"CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
ID de Licitación: 295522
Nombre de la Licitación: LPI PARA LA CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
Proveedor: CORSAN CORVIAM CONSTRUCCION S.A.
RUC: 80091326-4
Código de Contratación (CC): LI-12013-15-112026
Emisión del CC: 14-09-2015 - 17:05:48
Monto Adjudicado₲ Número de Contrato226
Fecha de Firma del Contrato09-09-2015",CORSAN CORVIAM CONSTRUCCION S.A.,,"Asunción, Mariano Roque Alonso, Limpio, Luque, Fernando de la Mora","Vie, 18 Marzo 2016","Vie, 31 Marzo 2017",12,100%,Fondo Local
Superviaducto de Aviadores y Madame Lynch,Paso a Desnivel,FINALIZADA,Central - Asunción,"CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
ID de Licitación: 295522
Nombre de la Licitación: LPI PARA LA CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
Proveedor: CORSAN CORVIAM CONSTRUCCION S.A.
RUC: 80091326-4
Código de Contratación (CC): LI-12013-15-112026
Emisión del CC: 14-09-2015 - 17:05:48
Monto Adjudicado₲ Número de Contrato226
Fecha de Firma del Contrato09-09-2015",CORSAN CORVIAM CONSTRUCCION S.A.,,"Asunción, Mariano Roque Alonso, Limpio, Luque, Fernando de la Mora","Vie, 18 Marzo 2016","Vie, 31 Marzo 2017",12,100%,Fondo Local
Superviaducto de Aviadores y Madame Lynch,Paso a Desnivel,FINALIZADA,Central - Asunción,"CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
ID de Licitación: 295522
Nombre de la Licitación: LPI PARA LA CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
Proveedor: CORSAN CORVIAM CONSTRUCCION S.A.
RUC: 80091326-4
Código de Contratación (CC): LI-12013-15-112026
Emisión del CC: 14-09-2015 - 17:05:48
Monto Adjudicado₲ Número de Contrato226
Fecha de Firma del Contrato09-09-2015",CORSAN CORVIAM CONSTRUCCION S.A.,,"Asunción, Mariano Roque Alonso, Limpio, Luque, Fernando de la Mora","Vie, 18 Marzo 2016","Vie, 31 Marzo 2017",12,100%,Fondo Local
Superviaducto de Aviadores y Madame Lynch,Paso a Desnivel,FINALIZADA,Central - Asunción,"CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
ID de Licitación: 295522
Nombre de la Licitación: LPI PARA LA CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
Proveedor: CORSAN CORVIAM CONSTRUCCION S.A.
RUC: 80091326-4
Código de Contratación (CC): LI-12013-15-112026
Emisión del CC: 14-09-2015 - 17:05:48
Monto Adjudicado₲ Número de Contrato226
Fecha de Firma del Contrato09-09-2015",CORSAN CORVIAM CONSTRUCCION S.A.,,"Asunción, Mariano Roque Alonso, Limpio, Luque, Fernando de la Mora","Vie, 18 Marzo 2016","Vie, 31 Marzo 2017",12,100%,Fondo Local
Superviaducto de Aviadores y Madame Lynch,Paso a Desnivel,FINALIZADA,Central - Asunción,"CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
ID de Licitación: 295522
Nombre de la Licitación: LPI PARA LA CONSTRUCCION DE PASOS A DESNIVEL EN LA INTERSECCION AVDA. MADAME LYNCH Y AVDA. AVIADORES DEL CHACO
Proveedor: CORSAN CORVIAM CONSTRUCCION S.A.
RUC: 80091326-4
Código de Contratación (CC): LI-12013-15-112026
Emisión del CC: 14-09-2015 - 17:05:48
Monto Adjudicado₲ Número de Contrato226
Fecha de Firma del Contrato09-09-2015",CORSAN CORVIAM CONSTRUCCION S.A.,,"Asunción, Mariano Roque Alonso, Limpio, Luque, Fernando de la Mora","Vie, 18 Marzo 2016","Vie, 31 Marzo 2017",12,100%,Fondo Local
